Date : 2025-10-28 03:59:19
Directory : /Users/changzechuan/DBMSProjects/bytebase
Total : 4102 files,  739077 codes, 55996 comments, 97133 blanks, all 892206 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frontend/src/components/IssueV1/components/common                                                                                                                               |          4 |         69 |          0 |          8 |         77 |
| frontend/src/components/IssueV1/logic                                                                                                                                           |         16 |      1,195 |         43 |        130 |      1,368 |
| frontend/src/components/IssueV1/logic (Files)                                                                                                                                   |          9 |        644 |         25 |         72 |        741 |
| frontend/src/components/IssueV1/logic/action                                                                                                                                    |          5 |        315 |         11 |         33 |        359 |
| frontend/src/components/IssueV1/logic/initialize                                                                                                                                |          2 |        236 |          7 |         25 |        268 |
| frontend/src/components/Label                                                                                                                                                   |          4 |        211 |          0 |         26 |        237 |
| frontend/src/components/MarkdownEditor                                                                                                                                          |          4 |        667 |          9 |         81 |        757 |
| frontend/src/components/Member                                                                                                                                                  |          9 |      1,116 |          4 |        108 |      1,228 |
| frontend/src/components/Member (Files)                                                                                                                                          |          5 |        722 |          4 |         70 |        796 |
| frontend/src/components/Member/MemberDataTable                                                                                                                                  |          4 |        394 |          0 |         38 |        432 |
| frontend/src/components/Member/MemberDataTable (Files)                                                                                                                          |          1 |        195 |          0 |         17 |        212 |
| frontend/src/components/Member/MemberDataTable/cells                                                                                                                            |          3 |        199 |          0 |         21 |        220 |
| frontend/src/components/MonacoEditor                                                                                                                                            |         32 |      2,216 |         77 |        298 |      2,591 |
| frontend/src/components/MonacoEditor (Files)                                                                                                                                    |         14 |      1,384 |         41 |        180 |      1,605 |
| frontend/src/components/MonacoEditor/composables                                                                                                                                |         16 |        793 |         36 |        114 |        943 |
| frontend/src/components/MonacoEditor/themes                                                                                                                                     |          2 |         39 |          0 |          4 |         43 |
| frontend/src/components/Plan                                                                                                                                                    |        163 |     16,076 |        294 |      1,904 |     18,274 |
| frontend/src/components/Plan (Files)                                                                                                                                            |          2 |          8 |          0 |          4 |         12 |
| frontend/src/components/Plan/components                                                                                                                                         |        142 |     14,456 |        231 |      1,702 |     16,389 |
| frontend/src/components/Plan/components (Files)                                                                                                                                 |          5 |        797 |          7 |         89 |        893 |
| frontend/src/components/Plan/components/BannerSection                                                                                                                           |          2 |        120 |          0 |         17 |        137 |
| frontend/src/components/Plan/components/ChecksView                                                                                                                              |          3 |        336 |          6 |         36 |        378 |
| frontend/src/components/Plan/components/Configuration                                                                                                                           |         29 |      1,985 |         37 |        260 |      2,282 |
| frontend/src/components/Plan/components/Configuration (Files)                                                                                                                   |          2 |        130 |          0 |         17 |        147 |
| frontend/src/components/Plan/components/Configuration/GhostSection                                                                                                              |         10 |        737 |          7 |         83 |        827 |
| frontend/src/components/Plan/components/Configuration/GhostSection (Files)                                                                                                      |          6 |        543 |          7 |         63 |        613 |
| frontend/src/components/Plan/components/Configuration/GhostSection/FlagsForm                                                                                                    |          4 |        194 |          0 |         20 |        214 |
| frontend/src/components/Plan/components/Configuration/InstanceRoleSection                                                                                                       |          4 |        288 |          7 |         40 |        335 |
| frontend/src/components/Plan/components/Configuration/IsolationLevelSection                                                                                                     |          4 |        262 |          7 |         40 |        309 |
| frontend/src/components/Plan/components/Configuration/PreBackupSection                                                                                                          |          5 |        341 |          9 |         44 |        394 |
| frontend/src/components/Plan/components/Configuration/TransactionModeSection                                                                                                    |          4 |        227 |          7 |         36 |        270 |
| frontend/src/components/Plan/components/ExportOption                                                                                                                            |          2 |         93 |          0 |         13 |        106 |
| frontend/src/components/Plan/components/HeaderSection                                                                                                                           |         18 |      2,233 |          8 |        296 |      2,537 |
| frontend/src/components/Plan/components/HeaderSection (Files)                                                                                                                   |          4 |        454 |          1 |         43 |        498 |
| frontend/src/components/Plan/components/HeaderSection/Actions                                                                                                                   |         14 |      1,779 |          7 |        253 |      2,039 |
| frontend/src/components/Plan/components/HeaderSection/Actions (Files)                                                                                                           |          3 |        711 |          3 |        148 |        862 |
| frontend/src/components/Plan/components/HeaderSection/Actions/create                                                                                                            |          2 |        213 |          0 |         20 |        233 |
| frontend/src/components/Plan/components/HeaderSection/Actions/export                                                                                                            |          2 |        100 |          0 |          9 |        109 |
| frontend/src/components/Plan/components/HeaderSection/Actions/panels                                                                                                            |          3 |        424 |          0 |         37 |        461 |
| frontend/src/components/Plan/components/HeaderSection/Actions/unified                                                                                                           |          4 |        331 |          4 |         39 |        374 |
| frontend/src/components/Plan/components/IssueReviewView                                                                                                                         |         25 |      1,641 |         33 |        220 |      1,894 |
| frontend/src/components/Plan/components/IssueReviewView (Files)                                                                                                                 |          7 |        527 |         17 |         76 |        620 |
| frontend/src/components/Plan/components/IssueReviewView/ActivitySection                                                                                                         |          2 |         12 |          0 |          3 |         15 |
| frontend/src/components/Plan/components/IssueReviewView/DatabaseExportView                                                                                                      |          4 |        317 |         11 |         50 |        378 |
| frontend/src/components/Plan/components/IssueReviewView/GrantRequestView                                                                                                        |          2 |         73 |          3 |         10 |         86 |
| frontend/src/components/Plan/components/IssueReviewView/Sidebar                                                                                                                 |         10 |        712 |          2 |         81 |        795 |
| frontend/src/components/Plan/components/IssueReviewView/Sidebar (Files)                                                                                                         |          3 |        153 |          0 |         22 |        175 |
| frontend/src/components/Plan/components/IssueReviewView/Sidebar/ApprovalFlowSection                                                                                             |          7 |        559 |          2 |         59 |        620 |
| frontend/src/components/Plan/components/PlanCheckSection                                                                                                                        |          2 |        178 |          2 |         22 |        202 |
| frontend/src/components/Plan/components/PlanDataTable                                                                                                                           |          2 |        134 |          0 |          8 |        142 |
| frontend/src/components/Plan/components/RolloutView                                                                                                                             |         21 |      3,562 |         66 |        369 |      3,997 |
| frontend/src/components/Plan/components/SQLCheckSection                                                                                                                         |          7 |        438 |          3 |         52 |        493 |
| frontend/src/components/Plan/components/SQLCheckV1Section                                                                                                                       |          2 |        296 |          3 |         29 |        328 |
| frontend/src/components/Plan/components/SpecDetailView                                                                                                                          |         10 |      1,368 |          8 |        152 |      1,528 |
| frontend/src/components/Plan/components/StatementSection                                                                                                                        |          9 |        969 |         53 |         97 |      1,119 |
| frontend/src/components/Plan/components/StatementSection (Files)                                                                                                                |          5 |        286 |         51 |         44 |        381 |
| frontend/src/components/Plan/components/StatementSection/EditorView                                                                                                             |          2 |        458 |          2 |         34 |        494 |
| frontend/src/components/Plan/components/StatementSection/ReleaseView                                                                                                            |          2 |        225 |          0 |         19 |        244 |
| frontend/src/components/Plan/components/common                                                                                                                                  |          5 |        306 |          5 |         42 |        353 |
| frontend/src/components/Plan/constants                                                                                                                                          |          1 |         10 |          0 |          2 |         12 |
| frontend/src/components/Plan/logic                                                                                                                                              |         18 |      1,602 |         63 |        196 |      1,861 |
| frontend/src/components/Plan/logic (Files)                                                                                                                                      |         12 |        702 |         20 |         98 |        820 |
| frontend/src/components/Plan/logic/initialize                                                                                                                                   |          3 |        484 |         25 |         39 |        548 |
| frontend/src/components/Plan/logic/poller                                                                                                                                       |          3 |        416 |         18 |         59 |        493 |
| frontend/src/components/PlanCheckRun                                                                                                                                            |         12 |      1,063 |          3 |        121 |      1,187 |
| frontend/src/components/PlanCheckRun (Files)                                                                                                                                    |         10 |      1,042 |          3 |        115 |      1,160 |
| frontend/src/components/PlanCheckRun/detail                                                                                                                                     |          2 |         21 |          0 |          6 |         27 |
| frontend/src/components/Project                                                                                                                                                 |         15 |      2,036 |          3 |        172 |      2,211 |
| frontend/src/components/Project (Files)                                                                                                                                         |          8 |      1,056 |          2 |         93 |      1,151 |
| frontend/src/components/Project/ProjectSwitch                                                                                                                                   |          3 |        299 |          0 |         31 |        330 |
| frontend/src/components/Project/Settings                                                                                                                                        |          4 |        681 |          1 |         48 |        730 |
| frontend/src/components/ProjectMember                                                                                                                                           |          8 |      1,560 |          0 |        145 |      1,705 |
| frontend/src/components/ProjectMember (Files)                                                                                                                                   |          2 |        287 |          0 |         29 |        316 |
| frontend/src/components/ProjectMember/AddProjectMember                                                                                                                          |          2 |        339 |          0 |         29 |        368 |
| frontend/src/components/ProjectMember/ProjectMemberRolePanel                                                                                                                    |          4 |        934 |          0 |         87 |      1,021 |
| frontend/src/components/Release                                                                                                                                                 |         15 |        966 |          0 |        105 |      1,071 |
| frontend/src/components/Release (Files)                                                                                                                                         |          1 |        204 |          0 |         15 |        219 |
| frontend/src/components/Release/ReleaseDetail                                                                                                                                   |         14 |        762 |          0 |         90 |        852 |
| frontend/src/components/Release/ReleaseDetail (Files)                                                                                                                           |          5 |        199 |          0 |         32 |        231 |
| frontend/src/components/Release/ReleaseDetail/NavBar                                                                                                                            |          6 |        350 |          0 |         36 |        386 |
| frontend/src/components/Release/ReleaseDetail/ReleaseFileTable                                                                                                                  |          3 |        213 |          0 |         22 |        235 |
| frontend/src/components/Revision                                                                                                                                                |          4 |      1,091 |         14 |         90 |      1,195 |
| frontend/src/components/Role                                                                                                                                                    |         10 |        631 |          0 |         78 |        709 |
| frontend/src/components/Role (Files)                                                                                                                                            |          1 |          1 |          0 |          1 |          2 |
| frontend/src/components/Role/Setting                                                                                                                                            |          9 |        630 |          0 |         77 |        707 |
| frontend/src/components/Role/Setting (Files)                                                                                                                                    |          3 |        146 |          0 |         21 |        167 |
| frontend/src/components/Role/Setting/components                                                                                                                                 |          6 |        484 |          0 |         56 |        540 |
| frontend/src/components/Role/Setting/components (Files)                                                                                                                         |          3 |        323 |          0 |         34 |        357 |
| frontend/src/components/Role/Setting/components/RoleDataTable                                                                                                                   |          3 |        161 |          0 |         22 |        183 |
| frontend/src/components/Role/Setting/components/RoleDataTable (Files)                                                                                                           |          1 |         62 |          0 |          6 |         68 |
| frontend/src/components/Role/Setting/components/RoleDataTable/cells                                                                                                             |          2 |         99 |          0 |         16 |        115 |
| frontend/src/components/Rollout                                                                                                                                                 |          2 |        306 |          0 |         15 |        321 |
| frontend/src/components/Rollout (Files)                                                                                                                                         |          1 |        188 |          0 |          9 |        197 |
| frontend/src/components/Rollout/kits                                                                                                                                            |          1 |        118 |          0 |          6 |        124 |
| frontend/src/components/SQLCheck                                                                                                                                                |          6 |        477 |          2 |         50 |        529 |
| frontend/src/components/SQLReview                                                                                                                                               |         32 |      2,810 |          0 |        252 |      3,062 |
| frontend/src/components/SQLReview (Files)                                                                                                                                       |          4 |        508 |          0 |         39 |        547 |
| frontend/src/components/SQLReview/components                                                                                                                                    |         28 |      2,302 |          0 |        213 |      2,515 |
| frontend/src/components/SQLReview/components (Files)                                                                                                                            |         19 |      1,991 |          0 |        172 |      2,163 |
| frontend/src/components/SQLReview/components/RuleConfigComponents                                                                                                               |          9 |        311 |          0 |         41 |        352 |
| frontend/src/components/SchemaDiagram                                                                                                                                           |         44 |      1,993 |         30 |        275 |      2,298 |
| frontend/src/components/SchemaDiagram (Files)                                                                                                                                   |          3 |        266 |          0 |         27 |        293 |
| frontend/src/components/SchemaDiagram/Canvas                                                                                                                                    |          9 |        420 |          3 |         77 |        500 |
| frontend/src/components/SchemaDiagram/Canvas (Files)                                                                                                                            |          4 |        266 |          0 |         48 |        314 |
| frontend/src/components/SchemaDiagram/Canvas/composables                                                                                                                        |          4 |        121 |          3 |         22 |        146 |
| frontend/src/components/SchemaDiagram/Canvas/libs                                                                                                                               |          1 |         33 |          0 |          7 |         40 |
| frontend/src/components/SchemaDiagram/ER                                                                                                                                        |          8 |        596 |          1 |         64 |        661 |
| frontend/src/components/SchemaDiagram/ER (Files)                                                                                                                                |          3 |        373 |          0 |         39 |        412 |
| frontend/src/components/SchemaDiagram/ER/libs                                                                                                                                   |          5 |        223 |          1 |         25 |        249 |
| frontend/src/components/SchemaDiagram/ER/libs (Files)                                                                                                                           |          2 |        131 |          0 |         13 |        144 |
| frontend/src/components/SchemaDiagram/ER/libs/autoLayout                                                                                                                        |          3 |         92 |          1 |         12 |        105 |
| frontend/src/components/SchemaDiagram/ER/libs/autoLayout (Files)                                                                                                                |          2 |         26 |          0 |          8 |         34 |
| frontend/src/components/SchemaDiagram/ER/libs/autoLayout/engines                                                                                                                |          1 |         66 |          1 |          4 |         71 |
| frontend/src/components/SchemaDiagram/Navigator                                                                                                                                 |         10 |        321 |          2 |         47 |        370 |
| frontend/src/components/SchemaDiagram/Navigator (Files)                                                                                                                         |          6 |        242 |          0 |         31 |        273 |
| frontend/src/components/SchemaDiagram/Navigator/TreeNode                                                                                                                        |          4 |         79 |          2 |         16 |         97 |
| frontend/src/components/SchemaDiagram/common                                                                                                                                    |          9 |        298 |         15 |         45 |        358 |
| frontend/src/components/SchemaDiagram/types                                                                                                                                     |          5 |         92 |          9 |         15 |        116 |
| frontend/src/components/SchemaEditorLite                                                                                                                                        |         91 |     10,899 |        101 |        799 |     11,799 |
| frontend/src/components/SchemaEditorLite (Files)                                                                                                                                |          9 |        732 |          8 |         74 |        814 |
| frontend/src/components/SchemaEditorLite/Aside                                                                                                                                  |         18 |      2,106 |          5 |        172 |      2,283 |
| frontend/src/components/SchemaEditorLite/Aside (Files)                                                                                                                          |          6 |      1,762 |          5 |        111 |      1,878 |
| frontend/src/components/SchemaEditorLite/Aside/NodeCheckbox                                                                                                                     |         12 |        344 |          0 |         61 |        405 |
| frontend/src/components/SchemaEditorLite/Modals                                                                                                                                 |          7 |      1,006 |          0 |         88 |      1,094 |
| frontend/src/components/SchemaEditorLite/Panels                                                                                                                                 |         42 |      4,284 |          5 |        339 |      4,628 |
| frontend/src/components/SchemaEditorLite/Panels (Files)                                                                                                                         |          9 |      1,439 |          2 |        125 |      1,566 |
| frontend/src/components/SchemaEditorLite/Panels/IndexesEditor                                                                                                                   |          5 |        390 |          0 |         25 |        415 |
| frontend/src/components/SchemaEditorLite/Panels/IndexesEditor (Files)                                                                                                           |          2 |        264 |          0 |         11 |        275 |
| frontend/src/components/SchemaEditorLite/Panels/IndexesEditor/components                                                                                                        |          3 |        126 |          0 |         14 |        140 |
| frontend/src/components/SchemaEditorLite/Panels/PartitionsEditor                                                                                                                |          9 |        683 |          0 |         43 |        726 |
| frontend/src/components/SchemaEditorLite/Panels/PartitionsEditor (Files)                                                                                                        |          3 |        445 |          0 |         20 |        465 |
| frontend/src/components/SchemaEditorLite/Panels/PartitionsEditor/components                                                                                                     |          6 |        238 |          0 |         23 |        261 |
| frontend/src/components/SchemaEditorLite/Panels/TableColumnEditor                                                                                                               |         11 |      1,226 |          0 |         97 |      1,323 |
| frontend/src/components/SchemaEditorLite/Panels/TableColumnEditor (Files)                                                                                                       |          2 |        782 |          0 |         44 |        826 |
| frontend/src/components/SchemaEditorLite/Panels/TableColumnEditor/components                                                                                                    |          9 |        444 |          0 |         53 |        497 |
| frontend/src/components/SchemaEditorLite/Panels/TableList                                                                                                                       |          6 |        521 |          0 |         44 |        565 |
| frontend/src/components/SchemaEditorLite/Panels/TableList (Files)                                                                                                               |          2 |        425 |          0 |         33 |        458 |
| frontend/src/components/SchemaEditorLite/Panels/TableList/components                                                                                                            |          4 |         96 |          0 |         11 |        107 |
| frontend/src/components/SchemaEditorLite/Panels/common                                                                                                                          |          2 |         25 |          3 |          5 |         33 |
| frontend/src/components/SchemaEditorLite/algorithm                                                                                                                              |          5 |      1,203 |         63 |         40 |      1,306 |
| frontend/src/components/SchemaEditorLite/context                                                                                                                                |          7 |      1,524 |         20 |         77 |      1,621 |
| frontend/src/components/SchemaEditorLite/utils                                                                                                                                  |          3 |         44 |          0 |          9 |         53 |
| frontend/src/components/SchemaTemplate                                                                                                                                          |         10 |      1,852 |         11 |        174 |      2,037 |
| frontend/src/components/SensitiveData                                                                                                                                           |         20 |      3,900 |          4 |        279 |      4,183 |
| frontend/src/components/SensitiveData (Files)                                                                                                                                   |         10 |      2,049 |          1 |        151 |      2,201 |
| frontend/src/components/SensitiveData/components                                                                                                                                |         10 |      1,851 |          3 |        128 |      1,982 |
| frontend/src/components/Sheet                                                                                                                                                   |          1 |         40 |          0 |          8 |         48 |
| frontend/src/components/SyncDatabaseSchemaV1                                                                                                                                    |         10 |      1,450 |          0 |        123 |      1,573 |
| frontend/src/components/TransferDatabaseForm                                                                                                                                    |          4 |        325 |          1 |         34 |        360 |
| frontend/src/components/TransferOutDatabaseForm                                                                                                                                 |          2 |        208 |          0 |         25 |        233 |
| frontend/src/components/User                                                                                                                                                    |         17 |      1,991 |          0 |        179 |      2,170 |
| frontend/src/components/User (Files)                                                                                                                                            |          2 |        100 |          0 |         11 |        111 |
| frontend/src/components/User/Settings                                                                                                                                           |         15 |      1,891 |          0 |        168 |      2,059 |
| frontend/src/components/User/Settings (Files)                                                                                                                                   |          5 |      1,061 |          0 |         84 |      1,145 |
| frontend/src/components/User/Settings/UserDataTable                                                                                                                             |          5 |        433 |          0 |         44 |        477 |
| frontend/src/components/User/Settings/UserDataTable (Files)                                                                                                                     |          1 |        172 |          0 |         14 |        186 |
| frontend/src/components/User/Settings/UserDataTable/cells                                                                                                                       |          4 |        261 |          0 |         30 |        291 |
| frontend/src/components/User/Settings/UserDataTableByGroup                                                                                                                      |          5 |        397 |          0 |         40 |        437 |
| frontend/src/components/User/Settings/UserDataTableByGroup (Files)                                                                                                              |          1 |        142 |          0 |         14 |        156 |
| frontend/src/components/User/Settings/UserDataTableByGroup/cells                                                                                                                |          4 |        255 |          0 |         26 |        281 |
| frontend/src/components/VCS                                                                                                                                                     |          2 |         36 |          0 |          6 |         42 |
| frontend/src/components/misc                                                                                                                                                    |         15 |        894 |          0 |        122 |      1,016 |
| frontend/src/components/v2                                                                                                                                                      |         83 |      6,368 |          7 |        634 |      7,009 |
| frontend/src/components/v2 (Files)                                                                                                                                              |          1 |          6 |          0 |          1 |          7 |
| frontend/src/components/v2/Button                                                                                                                                               |          9 |        429 |          0 |         50 |        479 |
| frontend/src/components/v2/Container                                                                                                                                            |          3 |         83 |          0 |         14 |         97 |
| frontend/src/components/v2/Form                                                                                                                                                 |         13 |        851 |          1 |         91 |        943 |
| frontend/src/components/v2/Model                                                                                                                                                |         36 |      2,977 |          4 |        285 |      3,266 |
| frontend/src/components/v2/Model (Files)                                                                                                                                        |         13 |        980 |          1 |        107 |      1,088 |
| frontend/src/components/v2/Model/DatabaseV1Table                                                                                                                                |          4 |        945 |          0 |         66 |      1,011 |
| frontend/src/components/v2/Model/Instance                                                                                                                                       |         11 |        711 |          0 |         69 |        780 |
| frontend/src/components/v2/Model/Instance (Files)                                                                                                                               |          6 |        288 |          0 |         35 |        323 |
| frontend/src/components/v2/Model/Instance/InstanceRoleTable                                                                                                                     |          2 |         40 |          0 |          6 |         46 |
| frontend/src/components/v2/Model/Instance/InstanceV1Table                                                                                                                       |          3 |        383 |          0 |         28 |        411 |
| frontend/src/components/v2/Model/Project                                                                                                                                        |          2 |        168 |          3 |         20 |        191 |
| frontend/src/components/v2/Model/User                                                                                                                                           |          2 |         47 |          0 |          8 |         55 |
| frontend/src/components/v2/Model/cells                                                                                                                                          |          4 |        126 |          0 |         15 |        141 |
| frontend/src/components/v2/ResourceOccupiedModal                                                                                                                                |          3 |        250 |          0 |         22 |        272 |
| frontend/src/components/v2/Select                                                                                                                                               |         11 |      1,414 |          0 |        139 |      1,553 |
| frontend/src/components/v2/Sidebar                                                                                                                                              |          3 |        210 |          2 |         16 |        228 |
| frontend/src/components/v2/TabFilter                                                                                                                                            |          4 |        148 |          0 |         16 |        164 |
| frontend/src/composables                                                                                                                                                        |         13 |        935 |         30 |        120 |      1,085 |
| frontend/src/grpcweb                                                                                                                                                            |          9 |        317 |         28 |         51 |        396 |
| frontend/src/grpcweb (Files)                                                                                                                                                    |          2 |        205 |          2 |         34 |        241 |
